10000
         34621426 function calls (34606623 primitive calls) in 9.130 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    337/1    0.007    0.000    9.130    9.130 {built-in method builtins.exec}
        1    0.020    0.020    9.130    9.130 encode_test.py:1(<module>)
    10001    0.903    0.000    8.094    0.001 read_fasta.py:24(read_fasta_iter)
   500205    3.582    0.000    6.574    0.000 {built-in method builtins.any}
       39    0.003    0.000    4.440    0.114 __init__.py:1(<module>)
 30500000    2.989    0.000    2.989    0.000 read_fasta.py:126(<genexpr>)
    375/1    0.003    0.000    0.790    0.790 <frozen importlib._bootstrap>:1349(_find_and_load)
    372/1    0.002    0.000    0.790    0.790 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    860/1    0.001    0.000    0.790    0.790 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    410/1    0.001    0.000    0.790    0.790 {built-in method builtins.__import__}
    363/1    0.003    0.000    0.789    0.789 <frozen importlib._bootstrap>:911(_load_unlocked)
    327/1    0.001    0.000    0.789    0.789 <frozen importlib._bootstrap_external>:1021(exec_module)
        1    0.000    0.000    0.749    0.749 clean.py:1(<module>)
        1    0.000    0.000    0.742    0.742 analysis_result.py:1(<module>)
   366/92    0.001    0.000    0.604    0.007 <frozen importlib._bootstrap>:1390(_handle_fromlist)
1130/1056    0.019    0.000    0.346    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.278    0.278 _base.py:1(<module>)
        1    0.000    0.000    0.235    0.235 offsetbox.py:1(<module>)
       78    0.003    0.000    0.233    0.003 artist.py:158(_update_set_signature_and_docstring)
       77    0.000    0.000    0.229    0.003 artist.py:125(__init_subclass__)
    10000    0.181    0.000    0.222    0.000 encode_dna.py:42(encode_dna)
       89    0.001    0.000    0.184    0.002 artist.py:1832(kwdoc)
        1    0.000    0.000    0.169    0.169 cbook.py:1(<module>)
       89    0.004    0.000    0.155    0.002 artist.py:1593(pprint_setters)
   516414    0.132    0.000    0.132    0.000 {method 'split' of 'str' objects}
     3110    0.010    0.000    0.126    0.000 artist.py:1461(get_valid_values)
        1    0.000    0.000    0.121    0.121 text.py:1(<module>)
        1    0.000    0.000    0.121    0.121 rcsetup.py:1(<module>)
   510006    0.120    0.000    0.120    0.000 {method 'upper' of 'str' objects}
    10001    0.034    0.000    0.111    0.000 read_fasta.py:72(push_entry)
      327    0.004    0.000    0.104    0.000 <frozen importlib._bootstrap_external>:1094(get_code)
   522853    0.102    0.000    0.102    0.000 {method 'strip' of 'str' objects}
   542635    0.097    0.000    0.097    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.096    0.096 _axes.py:1(<module>)
   578870    0.093    0.000    0.093    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.092    0.092 image.py:1(<module>)
     5581    0.046    0.000    0.083    0.000 inspect.py:891(cleandoc)
        1    0.000    0.000    0.078    0.078 patches.py:1(<module>)
     5579    0.005    0.000    0.077    0.000 inspect.py:872(getdoc)
        1    0.000    0.000    0.077    0.077 backend_bases.py:1(<module>)
        1    0.000    0.000    0.074    0.074 __config__.py:1(<module>)
        1    0.000    0.000    0.072    0.072 _arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.071    0.071 _index_tricks_impl.py:1(<module>)
      327    0.009    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:783(_compile_bytecode)
        1    0.000    0.000    0.066    0.066 defmatrix.py:1(<module>)
     4947    0.006    0.000    0.065    0.000 __init__.py:330(_compile)
        1    0.000    0.000    0.063    0.063 _linalg.py:1(<module>)
        1    0.000    0.000    0.063    0.063 widgets.py:1(<module>)
      168    0.001    0.000    0.062    0.000 artist.py:1413(__init__)
      168    0.021    0.000    0.061    0.000 artist.py:1433(get_aliases)
        1    0.000    0.000    0.060    0.060 collections.py:1(<module>)
      327    0.059    0.000    0.059    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.058    0.058 colors.py:1(<module>)
        1    0.000    0.000    0.057    0.057 _fontconfig_pattern.py:1(<module>)
      213    0.002    0.000    0.055    0.000 _compiler.py:743(compile)
  343/230    0.001    0.000    0.053    0.000 typing.py:426(inner)
     4362    0.003    0.000    0.044    0.000 __init__.py:174(search)
  363/355    0.001    0.000    0.043    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      168    0.013    0.000    0.043    0.000 artist.py:1511(get_setters)
    10000    0.011    0.000    0.042    0.000 sequence.py:19(__init__)
      368    0.005    0.000    0.041    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      213    0.001    0.000    0.034    0.000 _parser.py:970(parse)
    33/31    0.000    0.000    0.033    0.001 <frozen importlib._bootstrap_external>:1319(create_module)
    33/31    0.025    0.001    0.033    0.001 {built-in method _imp.create_dynamic}
  461/213    0.003    0.000    0.032    0.000 _parser.py:451(_parse_sub)
      366    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:1552(find_spec)
   111993    0.028    0.000    0.032    0.000 {built-in method builtins.isinstance}
      366    0.002    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1523(_get_spec)
  544/239    0.010    0.000    0.031    0.000 _parser.py:511(_parse)
      582    0.001    0.000    0.030    0.000 inspect.py:3382(signature)
  110/103    0.001    0.000    0.030    0.000 _docstring.py:122(__call__)
        1    0.000    0.000    0.030    0.030 _axes.py:67(Axes)
      582    0.001    0.000    0.030    0.000 inspect.py:3103(from_callable)
  715/582    0.006    0.000    0.029    0.000 inspect.py:2496(_signature_from_callable)
      247    0.003    0.000    0.028    0.000 typing.py:1423(__init__)
       84    0.000    0.000    0.028    0.000 __init__.py:287(compile)
    10000    0.010    0.000    0.028    0.000 sequence.py:63(sequence)
      572    0.006    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1625(find_spec)
        2    0.001    0.001    0.026    0.013 core.py:1(<module>)
       11    0.000    0.000    0.025    0.002 _docstring.py:73(__missing__)
        1    0.000    0.000    0.024    0.024 multiarray.py:1(<module>)
       53    0.000    0.000    0.024    0.000 typing.py:580(__getitem__)
        1    0.000    0.000    0.024    0.024 _char_codes.py:1(<module>)
        1    0.008    0.008    0.024    0.024 Image.py:1(<module>)
      327    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1215(get_data)
    10000    0.023    0.000    0.023    0.000 {built-in method numpy.frombuffer}
        1    0.000    0.000    0.023    0.023 cm.py:1(<module>)
       53    0.002    0.000    0.022    0.000 typing.py:812(Literal)
        1    0.000    0.000    0.021    0.021 lines.py:1(<module>)
        1    0.000    0.000    0.019    0.019 textpath.py:1(<module>)
        2    0.002    0.001    0.019    0.010 __init__.py:887(_rc_params_in_file)
    10000    0.009    0.000    0.019    0.000 <string>:2(__init__)
      213    0.000    0.000    0.018    0.000 _compiler.py:576(_code)
      251    0.006    0.000    0.018    0.000 typing.py:260(_collect_type_parameters)
        1    0.000    0.000    0.018    0.018 axis.py:1(<module>)
      555    0.006    0.000    0.018    0.000 inspect.py:2392(_signature_from_function)
23169/23166    0.016    0.000    0.017    0.000 {method 'join' of 'str' objects}
    56835    0.015    0.000    0.016    0.000 {built-in method builtins.getattr}
    85/30    0.001    0.000    0.016    0.001 typing.py:1452(__getitem__)
      360    0.001    0.000    0.016    0.000 artist.py:1530(number_of_parameters)
      642    0.005    0.000    0.015    0.000 <frozen importlib._bootstrap>:304(acquire)
      320    0.000    0.000    0.015    0.000 __init__.py:751(__setitem__)
      339    0.015    0.000    0.015    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.014    0.014 _array_like.py:1(<module>)
3070/2594    0.006    0.000    0.014    0.000 {built-in method __new__ of type object at 0x91c100}
     7415    0.014    0.000    0.014    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.014    0.014 _dtype_like.py:1(<module>)
   100/95    0.000    0.000    0.014    0.000 typing.py:574(__getitem__)
 1086/213    0.007    0.000    0.014    0.000 _compiler.py:37(_compile)
116007/114865    0.013    0.000    0.014    0.000 {built-in method builtins.len}
       95    0.001    0.000    0.014    0.000 typing.py:753(Union)
     4787    0.007    0.000    0.013    0.000 inspect.py:2763(__init__)
       74    0.001    0.000    0.013    0.000 __init__.py:1450(_preprocess_data)
       40    0.002    0.000    0.013    0.000 enum.py:498(__new__)
     1452    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
        2    0.000    0.000    0.012    0.006 _base.py:783(__init_subclass__)
        1    0.000    0.000    0.012    0.012 PngImagePlugin.py:1(<module>)
      327    0.012    0.000    0.012    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.011    0.011 __init__.py:980(version)
     1464    0.011    0.000    0.011    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.011    0.011 scale.py:1(<module>)
      372    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.011    0.011 __init__.py:483(version)
        1    0.000    0.000    0.011    0.011 __init__.py:448(metadata)
      270    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
     3793    0.005    0.000    0.010    0.000 <frozen codecs>:322(decode)
        1    0.000    0.000    0.010    0.010 category.py:1(<module>)
      791    0.001    0.000    0.010    0.000 artist.py:1536(is_alias)
14073/14039    0.006    0.000    0.010    0.000 {built-in method builtins.hasattr}
    10000    0.007    0.000    0.010    0.000 seq_entry.py:23(__post_init__)
    10000    0.005    0.000    0.010    0.000 seq_entry.py:35(__str__)
    85/30    0.001    0.000    0.010    0.000 typing.py:1483(_determine_new_args)
        1    0.000    0.000    0.010    0.010 _internal.py:1(<module>)
        1    0.000    0.000    0.010    0.010 quiver.py:1(<module>)
        1    0.000    0.000    0.010    0.010 common.py:1(<module>)
    85/30    0.001    0.000    0.010    0.000 typing.py:1512(_make_substitution)
        1    0.000    0.000    0.010    0.010 common.py:8(pyparsing_common)
        1    0.000    0.000    0.009    0.009 _machar.py:1(<module>)
    57318    0.009    0.000    0.009    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.009    0.009 ExifTags.py:1(<module>)
