seq_id,start,end,gc%
example,0,90,46.67
example,10,100,46.67
example,20,110,45.56
example,30,120,44.44
example,40,130,43.33
example,50,140,42.22
example,60,150,47.78
example,70,160,48.89
example,80,170,52.22
example,90,180,51.11
example,100,190,51.11
example,110,200,53.33
example,120,210,55.56
example,130,220,58.89
example,140,230,62.22
example,150,240,62.22
example,160,250,62.22
example,170,260,61.11
example,180,270,62.22
example,190,280,63.33
example,200,290,63.33
example,210,300,64.44
example,220,310,64.44
example,230,320,63.33
example,240,330,61.11
example,250,340,56.67
example,260,350,51.11
example,270,360,48.89
example,280,370,47.78
example,290,380,45.56
example,300,390,40.0
example,310,400,34.44
example,320,410,33.33
example,330,420,34.44
example,340,430,36.67
example,350,440,38.89
example,360,450,41.11
example,370,460,42.22
example,380,470,42.22
example,390,480,44.44
example,400,490,46.67
example,410,500,46.67
example,420,510,45.56
example,430,520,44.44
example,440,530,44.44
example,450,540,40.0
example,460,550,37.78
example,470,560,37.78
example,480,570,37.78
example,490,580,40.0
example,500,590,41.11
example,510,600,43.33
example,520,610,40.0
example,530,620,40.0
example,540,630,42.22
example,550,640,44.44
example,560,650,45.56
example,570,660,45.56
example,580,670,45.56
example,590,680,43.33
example,600,690,41.11
example,610,700,46.67
example,620,710,48.89
example,630,720,48.89
example,640,730,46.67
example,650,740,47.78
example,660,750,50.0
example,670,760,48.89
example,680,770,52.22
example,690,780,51.11
example,700,790,48.89
example,710,800,47.78
example,720,810,48.89
example,730,820,51.11
example,740,830,47.78
example,750,840,43.33
example,760,850,42.22
example,770,860,40.0
example,780,870,41.11
example,790,880,40.0
example,800,890,38.89
example,810,900,37.78
example,820,910,35.56
example,830,920,34.44
example,840,930,33.33
example,850,940,35.56
example,860,950,35.56
example,870,960,35.56
example,880,970,34.44
example,890,980,33.33
example,900,990,30.0
example,910,1000,30.0
example,920,1010,30.0
example,930,1020,32.22
example,940,1030,35.56
example,950,1040,37.78
example,960,1050,37.78
example,970,1060,37.78
example,980,1070,36.67
example,990,1080,40.0
example,1000,1090,41.11
example,1010,1100,41.11
example,1020,1110,40.0
example,1030,1120,36.67
example,1040,1130,35.56
example,1050,1140,35.56
example,1060,1150,38.89
example,1070,1160,42.22
example,1080,1170,44.44
example,1090,1180,46.67
example,1100,1190,48.89
example,1110,1200,52.22
example,1120,1210,48.89
example,1130,1220,51.11
example,1140,1230,50.0
example,1150,1240,52.22
example,1160,1250,52.22
example,1170,1260,48.89
example,1180,1270,47.78
example,1190,1280,48.89
example,1200,1290,46.67
example,1210,1300,48.89
example,1220,1310,44.44
example,1230,1320,45.56
example,1240,1330,44.44
example,1250,1340,45.56
example,1260,1350,44.44
example,1270,1360,43.33
example,1280,1370,44.44
example,1290,1380,45.56
example,1300,1390,48.89
example,1310,1400,47.78
example,1320,1410,51.11
example,1330,1420,50.0
example,1340,1430,48.89
example,1350,1440,54.44
example,1360,1450,56.67
example,1370,1460,55.56
example,1380,1470,56.67
example,1390,1480,56.67
example,1400,1490,60.0
example,1410,1500,60.0
example,1420,1510,64.44
example,1430,1520,67.78
example,1440,1530,70.0
example,1450,1540,68.89
example,1460,1550,71.11
example,1470,1560,73.33
example,1480,1570,75.56
example,1490,1580,75.56
example,1500,1590,77.78
example,1510,1600,73.33
example,1520,1610,75.56
example,1530,1620,73.33
example,1540,1630,76.67
example,1550,1640,78.89
example,1560,1650,78.89
example,1570,1660,76.67
example,1580,1670,76.67
example,1590,1680,72.22
example,1600,1690,72.22
example,1610,1700,66.67
example,1620,1710,63.33
example,1630,1720,60.0
example,1640,1730,57.78
example,1650,1740,55.56
example,1660,1750,53.33
example,1670,1760,51.11
example,1680,1770,51.11
example,1690,1780,52.22
example,1700,1790,54.44
example,1710,1800,57.78
example,1720,1810,60.0
example,1730,1820,60.0
example,1740,1830,62.22
example,1750,1840,64.44
example,1760,1850,67.78
example,1770,1860,67.78
example,1780,1870,67.78
example,1790,1880,67.78
example,1800,1890,67.78
example,1810,1900,66.67
example,1820,1910,63.33
example,1830,1920,61.11
example,1840,1930,61.11
example,1850,1940,62.22
example,1860,1950,64.44
example,1870,1960,67.78
example,1880,1970,67.78
example,1890,1980,67.78
example,1900,1990,67.78
example,1910,2000,71.11
example,1920,2010,72.22
example,1930,2020,73.33
example,1940,2030,72.22
example,1950,2040,72.22
example,1960,2050,67.78
example,1970,2060,66.67
example,1980,2070,67.78
