seq_id	start	end	strand	frame	length
random_seq_15	503	827	-	-3	324
random_seq_30	179	476	+	+3	297
random_seq_9	43	322	+	+2	279
random_seq_10	83	362	+	+3	279
random_seq_8	384	660	-	-2	276
random_seq_13	100	349	-	-1	249
random_seq_20	354	600	-	-2	246
random_seq_28	674	920	+	+3	246
random_seq_1	353	590	+	+3	237
random_seq_10	493	727	-	-1	234
random_seq_7	41	254	+	+3	213
random_seq_15	670	877	-	-1	207
random_seq_8	63	267	-	-2	204
random_seq_24	787	991	-	-1	204
random_seq_24	314	512	-	-3	198
random_seq_23	381	576	-	-2	195
random_seq_2	200	383	-	-3	183
random_seq_3	790	973	-	-1	183
random_seq_8	499	682	+	+2	183
random_seq_16	735	918	+	+1	183
random_seq_20	397	571	+	+2	174
random_seq_4	321	492	-	-2	171
random_seq_4	592	757	-	-1	165
random_seq_25	564	729	+	+1	165
random_seq_17	92	254	-	-3	162
random_seq_20	184	343	+	+2	159
random_seq_29	468	627	+	+1	159
random_seq_30	186	345	+	+1	159
random_seq_8	3	159	+	+1	156
random_seq_8	34	187	-	-1	153
random_seq_21	139	292	-	-1	153
random_seq_27	627	780	-	-2	153
random_seq_3	263	413	+	+3	150
random_seq_10	222	369	+	+1	147
random_seq_9	237	381	+	+1	144
random_seq_15	471	612	-	-2	141
random_seq_14	788	926	+	+3	138
random_seq_19	480	618	-	-2	138
random_seq_3	324	459	-	-2	135
random_seq_5	211	346	-	-1	135
random_seq_8	807	942	+	+1	135
random_seq_10	225	360	-	-2	135
random_seq_18	757	892	+	+2	135
random_seq_22	406	541	+	+2	135
random_seq_1	492	624	-	-2	132
random_seq_4	332	464	-	-3	132
random_seq_5	364	496	+	+2	132
random_seq_12	175	307	+	+2	132
random_seq_27	299	431	+	+3	132
random_seq_1	798	927	-	-2	129
random_seq_9	706	835	+	+2	129
random_seq_24	455	584	+	+3	129
random_seq_28	165	294	+	+1	129
random_seq_30	487	616	+	+2	129
random_seq_1	179	305	+	+3	126
random_seq_1	112	238	-	-1	126
random_seq_9	823	949	-	-1	126
random_seq_16	510	636	+	+1	126
random_seq_23	455	581	+	+3	126
random_seq_27	379	505	-	-1	126
random_seq_6	515	638	+	+3	123
random_seq_9	445	568	+	+2	123
random_seq_17	482	605	-	-3	123
random_seq_28	443	566	+	+3	123
random_seq_28	495	618	-	-2	123
random_seq_1	633	753	+	+1	120
random_seq_2	58	178	-	-1	120
random_seq_6	197	317	-	-3	120
random_seq_16	541	661	+	+2	120
random_seq_17	507	627	-	-2	120
random_seq_21	28	148	+	+2	120
random_seq_26	503	623	+	+3	120
random_seq_28	614	734	-	-3	120
random_seq_4	472	589	-	-1	117
random_seq_7	560	677	-	-3	117
random_seq_10	712	829	+	+2	117
random_seq_14	300	417	+	+1	117
random_seq_16	482	599	-	-3	117
random_seq_17	549	666	+	+1	117
random_seq_17	746	863	+	+3	117
random_seq_24	706	823	+	+2	117
random_seq_26	766	883	+	+2	117
random_seq_3	0	114	+	+1	114
random_seq_7	801	915	+	+1	114
random_seq_16	197	311	-	-3	114
random_seq_19	590	704	+	+3	114
random_seq_2	226	337	+	+2	111
random_seq_18	148	259	-	-1	111
random_seq_24	307	418	-	-1	111
random_seq_27	804	915	+	+1	111
random_seq_29	79	190	-	-1	111
random_seq_1	59	167	+	+3	108
random_seq_11	588	696	+	+1	108
random_seq_12	834	942	-	-2	108
random_seq_10	358	463	+	+2	105
random_seq_18	601	706	+	+2	105
random_seq_25	164	269	+	+3	105
random_seq_25	398	503	-	-3	105
random_seq_28	62	167	-	-3	105
random_seq_4	142	244	-	-1	102
random_seq_7	811	913	-	-1	102
random_seq_10	764	866	+	+3	102
random_seq_11	439	541	-	-1	102
random_seq_12	111	213	+	+1	102
random_seq_13	4	106	+	+2	102
random_seq_13	763	865	+	+2	102
random_seq_14	840	942	-	-2	102
random_seq_14	296	398	-	-3	102
random_seq_17	673	775	+	+2	102
random_seq_26	218	320	+	+3	102
